,Country,Years,Renewable Energy Solar (Installed capacity)
0,US,2000.0,18.5
1,Germany,2000.0,114.0
2,China,2000.0,33.515
3,India,2000.0,0.0
4,US,2001.0,21.9
5,Germany,2001.0,195.0
6,China,2001.0,38.02
7,India,2001.0,1.1
8,US,2002.0,28.0
9,Germany,2002.0,260.0
10,China,2002.0,56.53
11,India,2002.0,5.5
12,US,2003.0,73.0
13,Germany,2003.0,435.0
14,China,2003.0,66.6
15,India,2003.0,6.7
16,US,2004.0,111.0
17,Germany,2004.0,1105.0
18,China,2004.0,76.6
19,India,2004.0,7.9
20,US,2005.0,190.0
21,Germany,2005.0,2056.0
22,China,2005.0,141.2
23,India,2005.0,7.8
24,US,2006.0,295.0
25,Germany,2006.0,2899.0
26,China,2006.0,160.2
27,India,2006.0,11.6
28,US,2007.0,455.0
29,Germany,2007.0,4170.0
30,China,2007.0,199.0
31,India,2007.0,9.6
32,US,2008.0,753.0
33,Germany,2008.0,6120.0
34,China,2008.0,253.0
35,India,2008.0,25.1
36,US,2009.0,1188.0
37,Germany,2009.0,10567.0
38,China,2009.0,414.8
39,India,2009.0,27.7
40,US,2010.0,2040.0
41,Germany,2010.0,18007.0
42,China,2010.0,1021.8
43,India,2010.0,39.4
44,US,2011.0,3382.0
45,Germany,2011.0,25917.0
46,China,2011.0,3107.8
47,India,2011.0,65.4
48,US,2012.0,7328.0
49,Germany,2012.0,34077.0
50,China,2012.0,6718.8
51,India,2012.0,565.8
52,US,2013.0,13045.0
53,Germany,2013.0,36711.0
54,China,2013.0,17758.8
55,India,2013.0,926.0
56,US,2014.0,17651.0
57,Germany,2014.0,37900.0
58,China,2014.0,28398.8
59,India,2014.0,3672.508
60,US,2015.0,23442.0
61,Germany,2015.0,39224.0
62,China,2015.0,43548.8
63,India,2015.0,5593.484
64,US,2016.0,34716.0
65,Germany,2016.0,40679.0
66,China,2016.0,77808.8
67,India,2016.0,9879.021
68,US,2017.0,43115.0
69,Germany,2017.0,42293.0
70,China,2017.0,130822.29
71,India,2017.0,18151.756
72,US,2018.0,53183.5
73,Germany,2018.0,45181.0
74,China,2018.0,175236.86399999997
75,India,2018.0,27355.324
