,Country,Year,Renewable share electricity production (%),Renewable Energy Solar (Installed capacity) (MW),Renewables:Consumption (EJ),Electricity generation (TWh),Wind and solar share electricity production (%),Renewable Energy Wind  (Installed capacity) (MW),Electricity Consumption (TWh),Asset investment in renewables (Billions USD),Renewable installed PV Power (GW),Primary Energy: Consumption (EJ),Electricity Production (TWh),Electricity generation from other (TWh),Energy intensity level of primary energy (MJ/2011 USD PPP) ,Renewable electricity share of total electricity output (%) ,Renewable energy share of TFEC (%) ,Total electricity output (GWh) ,Total final energy consumption (TFEC) (TJ) ,Renewable installed Wind Power (GW)
0,China,2004,16.22,76.6,0.057830428,2203.31,0.07,763.0,1859,2.4,0.0,66.54571613,2204,0.0,10.35599738,16.22326642,20.24947926,2203502,41469975.08,0.764
1,China,2005,16.18,141.2,0.101235495,2500.26,0.09,1060.0,2126,7.699999999999998,0.0,75.60172011,2500,0.0,10.28130878,16.17502498,18.20381865,2500466,45785223.21,1.26
2,China,2006,15.59,160.2,0.14308933599999998,2865.726,0.14,2070.0,2446,9.0,0.08,82.8805339,2866,0.0,9.974489413,15.59278342,17.09461008,2865954,49175114.02,2.604
3,China,2007,15.26,199.0,0.196720162,3281.553,0.18,4200.0,2817,13.6,0.1,90.08781938,3282,0.0,9.446755652,15.26334714,15.34937114,3281790,52829271.79,5.9060000000000015
4,China,2008,17.74,253.0,0.326148086,3495.76,0.44,8387.728000000001,2989,22.5,0.14,93.44496937,3467,0.0,8.888790121,17.73744406,14.60199657,3467185,54691192.12,12.21
5,China,2009,17.86,414.8,0.524562932,3714.651,0.74,17599.408,3223,31.9,0.3,97.52314741,3715,0.0,8.693872841,17.8637982,13.91196227,3715061,56930962.32,25.805
6,China,2010,18.83,1021.8,0.768616625,4207.16,1.08,29633.478,3626,35.0,0.8,104.2840024,4208,19.85186,8.679178537,18.62282605,12.88431031,4197204,61093297.29,42.287
7,China,2011,16.95,3107.8,1.049599256,4713.019,1.55,46354.6,4052,39.9,3.3,112.54080829999998,4716,21.669,8.502319501,16.76177043,11.69579699,4704861,65459079.1,62.733
8,China,2012,20.12,6718.8,1.356393533,4987.553,2.05,61596.873,4326,55.0,7.0,117.04535020000002,4994,20.27989,8.190299441,19.96624894,11.96856703,4984731,67426526.34,75.324
9,China,2013,20.45,17758.8,1.795909085,5431.635,2.88,76730.53,4718,61.2,19.72,121.37465690000002,5447,22.9827266,7.851333803,20.29622738,11.8381669,5436567,69906541.02,91.412
10,China,2014,22.79,28398.8,2.238405372,5794.4569999999985,3.27,96819.13,4939,86.69999999999997,30.38,124.1979329,5679,26.14633,7.104220001,22.60915378,12.22382301,5665745,71536310.66,114.763
11,China,2015,24.13,43548.8,2.623551642,5814.573,3.94,131047.73,5104,118.0,43.53,125.3768906,5860,26.783590000000004,6.690069702,23.92681717,12.41335257,5844158,73183146.53,145.36
12,China,2016,25.4,77808.8,3.4396675560000003,6133.16,5.18,148516.89,5367,101.4,78.1,126.9507368,6165,42.1935,6.690069702,23.92681717,12.41335257,5844158,73183146.53,168.69
13,Germany,2004,10.2,1105.0,0.395023944,617.4652,4.56,16419.0,538,8.9,1.139,14.33946814,617,21.2268,4.576951194,9.267474493,5.825244433,611105,8763328.404,16.629
14,Germany,2005,11.13,2056.0,0.48722748,622.575,5.1,18248.0,539,10.6,2.072,14.1659172,623,24.1468,4.511465998,10.15021111,6.764551009,615800,8626259.145,18.428
15,Germany,2006,12.26,2899.0,0.612064345,639.5665,5.74,20474.0,544,11.1,2.918,14.51322843,639,25.4006,4.47122845,11.32201311,7.753224656,632732,8820320.967,20.622
16,Germany,2007,14.87,4170.0,0.7729506759999999,640.578,7.05,22116.0,545,14.7,4.195,13.89002168,641,26.5586,4.099191676,13.93800806,9.406587903,633663,8247962.045,22.247
